Case;Prompt;LLM;Ground Truth;Prediction
2;P7;Claude-3;1;1
3;P7;Claude-3;1;1
4;P7;Claude-3;1;1
5;P7;Claude-3;1;1
6;P7;Claude-3;0;0
7;P7;Claude-3;0;1
8;P7;Claude-3;0;1
9;P7;Claude-3;0;1
10;P7;Claude-3;0;1
1;P7;Gemini-2;1;1
2;P7;Gemini-2;1;1
3;P7;Gemini-2;1;1
4;P7;Gemini-2;1;1
5;P7;Gemini-2;1;1
6;P7;Gemini-2;0;0
7;P7;Gemini-2;0;1
8;P7;Gemini-2;0;1
9;P7;Gemini-2;0;1
10;P7;Gemini-2;0;1
1;P7;Deepseek;1;1
2;P7;Deepseek;1;1
3;P7;Deepseek;1;1
4;P7;Deepseek;1;1
5;P7;Deepseek;1;0
6;P7;Deepseek;0;0
7;P7;Deepseek;0;0
8;P7;Deepseek;0;0
9;P7;Deepseek;0;0
10;P7;Deepseek;0;0
1;P8;GPT-4o;1;1
2;P8;GPT-4o;1;1
3;P8;GPT-4o;1;1
4;P8;GPT-4o;1;1
5;P8;GPT-4o;1;1
6;P8;GPT-4o;0;1
7;P8;GPT-4o;0;1
8;P8;GPT-4o;0;1
9;P8;GPT-4o;0;1
10;P8;GPT-4o;0;1
1;P8;Claude-3;1;1
2;P8;Claude-3;1;1
3;P8;Claude-3;1;1
4;P8;Claude-3;1;1
5;P8;Claude-3;1;1
6;P8;Claude-3;0;0
7;P8;Claude-3;0;1
8;P8;Claude-3;0;1
9;P8;Claude-3;0;1
10;P8;Claude-3;0;1
1;P8;Gemini-2;1;1
2;P8;Gemini-2;1;1
3;P8;Gemini-2;1;1
4;P8;Gemini-2;1;1
5;P8;Gemini-2;1;1
6;P8;Gemini-2;0;1
7;P8;Gemini-2;0;1
8;P8;Gemini-2;0;1
9;P8;Gemini-2;0;1
10;P8;Gemini-2;0;0
1;P8;Deepseek;1;1
2;P8;Deepseek;1;1
3;P8;Deepseek;1;1
4;P8;Deepseek;1;1
5;P8;Deepseek;1;1
6;P8;Deepseek;0;0
7;P8;Deepseek;0;1
8;P8;Deepseek;0;1
9;P8;Deepseek;0;0
10;P8;Deepseek;0;0
1;P9;GPT-4o;1;1
2;P9;GPT-4o;1;1
3;P9;GPT-4o;1;1
4;P9;GPT-4o;1;1
5;P9;GPT-4o;1;1
6;P9;GPT-4o;0;0
7;P9;GPT-4o;0;0
8;P9;GPT-4o;0;0
9;P9;GPT-4o;0;1
10;P9;GPT-4o;0;1
1;P9;Claude-3;1;1
2;P9;Claude-3;1;0
3;P9;Claude-3;1;1
4;P9;Claude-3;1;1
5;P9;Claude-3;1;1
6;P9;Claude-3;0;0
7;P9;Claude-3;0;1
8;P9;Claude-3;0;1
9;P9;Claude-3;0;1
10;P9;Claude-3;0;1
1;P9;Gemini-2;1;1
2;P9;Gemini-2;1;1
3;P9;Gemini-2;1;1
4;P9;Gemini-2;1;1
5;P9;Gemini-2;1;1
6;P9;Gemini-2;0;0
7;P9;Gemini-2;0;1
8;P9;Gemini-2;0;1
9;P9;Gemini-2;0;1
10;P9;Gemini-2;0;0
1;P9;Deepseek;1;1
2;P9;Deepseek;1;1
3;P9;Deepseek;1;1
4;P9;Deepseek;1;1
5;P9;Deepseek;1;1
6;P9;Deepseek;0;0
7;P9;Deepseek;0;0
8;P9;Deepseek;0;1
9;P9;Deepseek;0;1
10;P9;Deepseek;0;0
1;P10;GPT-4o;1;1
2;P10;GPT-4o;1;1
3;P10;GPT-4o;1;1
4;P10;GPT-4o;1;1
5;P10;GPT-4o;1;1
6;P10;GPT-4o;0;0
7;P10;GPT-4o;0;0
8;P10;GPT-4o;0;0
9;P10;GPT-4o;0;1
10;P10;GPT-4o;0;1
1;P10;Claude-3;1;1
2;P10;Claude-3;1;1
3;P10;Claude-3;1;1
4;P10;Claude-3;1;1
5;P10;Claude-3;1;1
6;P10;Claude-3;0;1
7;P10;Claude-3;0;1
8;P10;Claude-3;0;1
9;P10;Claude-3;0;1
10;P10;Claude-3;0;1
1;P10;Gemini-2;1;1
2;P10;Gemini-2;1;1
3;P10;Gemini-2;1;1
4;P10;Gemini-2;1;1
5;P10;Gemini-2;1;1
6;P10;Gemini-2;0;0
7;P10;Gemini-2;0;1
8;P10;Gemini-2;0;1
9;P10;Gemini-2;0;1
10;P10;Gemini-2;0;1
1;P10;Deepseek;1;1
2;P10;Deepseek;1;1
3;P10;Deepseek;1;1
4;P10;Deepseek;1;1
5;P10;Deepseek;1;0
6;P10;Deepseek;0;0
7;P10;Deepseek;0;0
8;P10;Deepseek;0;0
9;P10;Deepseek;0;0
10;P10;Deepseek;0;0
